Place,Novice,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
157,,Undefined,Gokul Asokan,Berkeley AB,9,455,75.8,75,72,75,80,79,74,0,0,0
157,,Undefined,Aamnah Khalid,Stanford CK,11,455,75.8,74,75,76,75,79,76,0,0,0
157,,Undefined,Kasra Khadem,Penn KW,10,455,75.8,74,72,79,74,77,79,0,0,0
157,,Undefined,Seth McReynolds ,Louisiana Tech MF,8,455,75.8,80,79,73,76,74,73,0,0,0
157,,Undefined,Connor Pfeiffer,Princeton PH,10,455,75.8,79,76,71,77,75,77,0,0,0
157,,Undefined,Nathan Hernandez,West Point HN,9,455,75.8,71,75,79,77,76,77,0,0,0
157,,Undefined,Daniel Westrich,Poly Prep HS GW,5,455,75.8,76,77,74,76,76,76,0,0,0
172,,Undefined,Ruiya Du,Brown DN,9,454,75.7,77,74,75,75,78,75,0,0,0
172,,Undefined,Tanay Patri,Northeastern OP,8,454,75.7,75,75,73,79,74,78,0,0,0
172,,Undefined,Mahima Krishnamoorthi,Stanford HK,8,454,75.7,72,78,79,74,78,73,0,0,0
172,,Undefined,Lorenzo Benitez,Cornell LB,11,454,75.7,75,73,77,74,77,78,0,0,0
172,,Undefined,James Lee,Middlebury IIS LM,8,454,75.7,76,75,76,75,77,75,0,0,0
172,,Undefined,Noha Ayoub,USC HA,8,454,75.7,72,77,76,74,80,75,0,0,0
172,,Undefined,Michelle Briney,Fordham KB,12,454,75.7,76,75,77,73,76,77,0,0,0
179,,Undefined,Dongjae Lee,USC LR,9,453,75.5,74,76,74,76,79,74,0,0,0
179,,Undefined,Micaela Lewis,McGill LL,8,453,75.5,74,74,76,76,76,77,0,0,0
179,,Undefined,Laura Hausman,Princeton PH,10,453,75.5,78,76,69,77,76,77,0,0,0
179,,Undefined,Victor Yang,Harvard CY,11,453,75.5,74,75,76,75,77,76,0,0,0
179,,Undefined,Siena Frost,Colgate AF,7,453,75.5,76,76,76,74,74,77,0,0,0
179,,Undefined,Katherine Ziegler,Bates SZ,8,453,75.5,72,80,71,79,74,77,0,0,0
179,,Undefined,Justas Janonis,Harvard KJ,8,453,75.5,75,72,78,74,77,77,0,0,0
186,,Undefined,Syed Reefat Aziz,Rochester AT,8,452,75.3,75,78,78,75,74,72,0,0,0
186,,Undefined,Jameson O'Reilly,Northeastern OP,8,452,75.3,74,73,77,76,75,77,0,0,0
186,,Undefined,Matthew Zhang,Hart House LZ,10,452,75.3,73,74,76,77,78,74,0,0,0
186,,Undefined,Harper Hunt,USC HH,9,452,75.3,75,77,74,77,78,71,0,0,0
186,,Undefined,Ketan Gupta,Duke GS,8,452,75.3,77,74,78,73,75,75,0,0,0
186,,Undefined,Kieren Kresevic Salazar,Harvard KJ,8,452,75.3,75,71,77,74,77,78,0,0,0
186,,Undefined,Rebecca Hu,USC HA,8,452,75.3,71,76,76,75,79,75,0,0,0
193,,Undefined,David Courtright,Clemson CP,6,451,75.2,80,75,72,75,75,74,0,0,0
193,,Undefined,Hujon Goulbourne,St. John GH,8,451,75.2,78,76,74,76,77,70,0,0,0
193,,Undefined,Rebekah Sicari,Bard RS,6,451,75.2,78,73,78,76,75,71,0,0,0
193,,Undefined,John Goulandris,Poly Prep HS GW,5,451,75.2,77,75,76,75,76,72,0,0,0
193,,Undefined,Nicole Zivkovic,Princeton ZM,9,451,75.2,75,72,79,72,80,73,0,0,0
193,,Undefined,Austin Rose,Brown HR,8,451,75.2,76,76,75,75,73,76,0,0,0
193,,Undefined,Max Neuman,Swarthmore/CUNY AN,10,451,75.2,75,77,72,77,73,77,0,0,0
193,,Undefined,George White,Vermont SW,9,451,75.2,79,73,74,75,75,75,0,0,0
193,,Undefined,Nisha Kale,USC KN,10,451,75.2,76,72,73,77,78,75,0,0,0
193,,Undefined,Hannah Hunt,USC HH,9,451,75.2,74,76,74,77,77,73,0,0,0
193,,Undefined,Kenneth Go,Hawaii BG,9,451,75.2,77,72,77,76,76,73,0,0,0
193,,Undefined,Andrew Sy,Northeastern SS,9,451,75.2,78,77,74,73,75,74,0,0,0
193,,Undefined,Charming Dube,Tufts DH,9,451,75.2,75,75,76,74,73,78,0,0,0
193,,Undefined,Diwakar Ganesan,Stanford DG,10,451,75.2,75,72,74,76,79,75,0,0,0
193,,Undefined,Hayley Arlin,Colgate AF,7,451,75.2,76,79,75,73,73,75,0,0,0
208,,Undefined,Annie Abruzzo,Swarthmore/CUNY AN,10,450,75,73,76,74,76,74,77,0,0,0
208,,Undefined,Cole Winstanley,Stanford MW,8,450,75,74,77,72,71,80,76,0,0,0
208,,Undefined,Ying Chow,Stanford AC,7,450,75,75,75,75,74,76,75,0,0,0
208,,Undefined,Monty Montgomery,St. John MT,7,450,75,74,81,76,74,76,69,0,0,0
208,,Undefined,Yael Lewis,McGill LL,8,450,75,75,74,75,74,76,76,0,0,0
208,,Undefined,Brianna Terrell,Rochester AT,8,450,75,76,76,77,74,74,73,0,0,0
208,,Undefined,Geoff Schoonmaker,Duke NS,7,450,75,74,68,79,77,79,73,0,0,0
208,,Undefined,Ameen Al Qadi,Fordham AA,6,450,75,72,83,73,74,72,76,0,0,0
208,,Undefined,Jackie Yu,Harvard HY,9,450,75,76,74,73,73,76,78,0,0,0
208,,Undefined,Catherine Yu,Cornell YL,9,450,75,72,76,77,75,76,74,0,0,0
208,,Undefined,Jacob Hoberg,Duke EH,7,450,75,75,74,75,77,75,74,0,0,0
208,,Undefined,Eva Frankel,Stanford AF,11,450,75,76,75,72,75,76,76,0,0,0
220,,Undefined,Jeff Lear,GWU AL,9,449,74.8,74,74,74,75,74,78,0,0,0
220,,Undefined,Corina Minden-Birkenmaier,Fordham RMB,7,449,74.8,77,74,72,70,78,78,0,0,0
220,,Undefined,Ali Ryan,Fordham RMB,7,449,74.8,77,74,71,73,77,77,0,0,0
220,,Undefined,Taimur Ahmed Mian,Colgate MZ,8,449,74.8,79,74,72,75,73,76,0,0,0
220,,Undefined,MaryKathryn Samelson,King's CS,8,449,74.8,76,74,75,75,75,74,0,0,0
220,,Undefined,Kendra Dawson,Loyola Marymount DS,6,449,74.8,76,77,75,74,74,73,0,0,0
220,,Undefined,Grace Marshall,HWS GM,7,449,74.8,75,73,77,72,75,77,0,0,0
220,,Undefined,Madelinne Pope,Clemson CP,6,449,74.8,79,73,72,75,76,74,0,0,0
220,,Undefined,Emma Abdullah,Stanford AC,7,449,74.8,75,74,74,76,73,77,0,0,0
220,,Undefined,Tongyu Yi,SYSU A,8,449,74.8,73,78,76,73,74,75,0,0,0
220,,Undefined,Sylvia Peng,Vassar DP,8,449,74.8,76,75,73,75,79,71,0,0,0
220,,Undefined,Dan DeDomenico,Vermont DN,10,449,74.8,72,76,79,71,76,75,0,0,0
232,,Undefined,Felicia Kalkman,GWU KD,7,448,74.7,74,76,74,76,74,74,0,0,0
232,,Undefined,Anthony Degleris,Stanford DG,10,448,74.7,75,71,74,76,77,75,0,0,0
232,,Undefined,Katie Bogomolova,Columbia KB,8,448,74.7,76,73,76,73,76,74,0,0,0
232,,Undefined,Samantha Sullivan,Vermont PS,6,448,74.7,76,74,76,76,72,74,0,0,0
232,,Undefined,Abdullah Ahmad,Fordham AA,6,448,74.7,72,83,73,73,73,74,0,0,0
232,,Undefined,Megan Nelson,Vermont DN,10,448,74.7,75,73,77,71,75,77,0,0,0
232,,Undefined,Sierra Maciorowski,Stanford MW,8,448,74.7,76,78,74,70,74,76,0,0,0
232,,Undefined,Ricky Choi,Swarthmore/Brandeis CC,9,448,74.7,75,74,76,70,77,76,0,0,0
232,,Undefined,Kaelyn Sabal-Wilson,Loyola Marymount DS,6,448,74.7,75,75,74,75,75,74,0,0,0
241,,Undefined,Arham Kazi,Wesleyan AE,7,447,74.5,76,75,78,71,71,76,0,0,0
241,,Undefined,George Ngoh,West Point HN,9,447,74.5,70,73,78,76,74,76,0,0,0
241,,Undefined,Sara Hurley,Fordham NH,8,447,74.5,74,72,78,73,73,77,0,0,0
241,,Undefined,Daisy Hu,Tufts DH,9,447,74.5,76,73,75,75,72,76,0,0,0
241,,Undefined,Shawn Cunningham,Loyola Marymount CG,9,447,74.5,77,72,76,72,74,76,0,0,0
246,,Undefined,Reed Johnson,West Point JR,7,446,74.3,72,75,73,78,74,74,0,0,0
246,,Undefined,Jacques Brunvil,Hawaii BG,9,446,74.3,74,72,77,74,76,73,0,0,0
246,,Undefined,Erin Poll,Vermont PS,6,446,74.3,76,75,75,76,72,72,0,0,0
246,,Undefined,Vijay Ramanujan,Middlebury/Penn SR,7,446,74.3,70,74,75,76,74,77,0,0,0
246,,Undefined,Junhao Hou,Minerva HM,7,446,74.3,78,78,75,67,75,73,0,0,0
246,,Undefined,Victoria Negrea,Fordham NH,8,446,74.3,76,71,75,73,73,78,0,0,0
246,,Undefined,Jason Greenfield,Amherst GM,5,446,74.3,75,77,75,77,71,71,0,0,0
253,,Undefined,Danielle del Rosario,Bard RS,6,445,74.2,77,74,78,73,74,69,0,0,0
253,,Undefined,Zach Keirn,Fordham KB,12,445,74.2,75,73,75,72,76,74,0,0,0
253,,Undefined,Bart Lahiff,HWS GM,7,445,74.2,73,74,76,70,76,76,0,0,0
253,,Undefined,Yu Ma,Minerva HM,7,445,74.2,76,80,74,68,74,73,0,0,0
253,,Undefined,Lucy Kirichenko,Columbia KB,8,445,74.2,75,72,76,74,75,73,0,0,0
253,,Undefined,Sam Moore,Princeton ZM,9,445,74.2,74,71,74,73,81,72,0,0,0
253,,Undefined,Varun Nair,Duke NS,7,445,74.2,73,70,78,75,78,71,0,0,0
253,,Undefined,Andrew Chizewer,Stanford CM,8,445,74.2,75,70,75,74,75,76,0,0,0
